total KP 
5116
x,y,time[s]
0.748054,0.582146,0.075309
0.815584,0.575484,0.049857
0.817872,0.606897,0.052280
0.769115,0.553441,0.068396
0.689270,0.735849,0.045607
0.851217,0.577028,0.053448
0.846429,0.578040,0.059566
0.599776,0.581897,0.013688
0.597802,0.296017,0.044510
0.780892,0.550245,0.056781
0.547009,0.658847,0.063663
0.581538,0.620757,0.073316
0.833333,0.582703,0.001924
0.835910,0.557023,0.050084
0.800467,0.541475,0.054437
0.608434,0.341270,0.054487
0.458065,0.585890,0.064278
0.823726,0.600000,0.050303
0.678703,0.528873,0.003807
0.807432,0.588087,0.006462
0.572034,0.265594,0.047990
0.803410,0.583168,0.049986
0.817136,0.556410,0.065236
0.832830,0.561277,0.071206
0.589918,0.629366,0.073469
0.837924,0.593256,0.076460
0.618153,0.576779,0.043056
0.734403,0.585324,0.056564
0.838253,0.602299,0.058303
0.689863,0.228976,0.060303
0.593750,0.435709,0.076622
0.765411,0.618421,0.047285
0.571620,0.255583,0.072226
0.576520,0.646365,0.076962
0.717314,0.552265,0.012739
0.525424,0.671739,0.055208
0.839812,0.563446,0.061847
0.815565,0.577540,0.002089
0.683544,0.567976,0.058959
0.791242,0.289784,0.060681
0.811705,0.596958,0.070865
0.846325,0.594837,0.071732
0.749280,0.545328,0.056977
0.591010,0.583807,0.043449
0.707317,0.575372,0.046091
0.490969,0.306220,0.072807
0.805785,0.565254,0.009717
0.377282,0.388834,0.041245
0.796214,0.588816,0.056933
0.808173,0.610922,0.061447
0.723618,0.613008,0.065898
0.576981,0.200893,0.042785
0.731988,0.622505,0.051347
0.831276,0.590486,0.067478
0.527607,0.602780,0.079599
0.814607,0.591078,0.006937
0.598550,0.606588,0.067007
0.679121,0.586538,0.071284
0.820639,0.601227,0.000774
0.826846,0.595491,0.055066
0.581944,0.565912,0.005508
0.826943,0.577202,0.000487
0.811111,0.566627,0.049937
0.820163,0.572212,0.059730
0.431746,0.586727,0.059904
0.265537,0.474860,0.063147
0.809973,0.568602,0.065942
0.813644,0.579167,0.052286
0.798646,0.587889,0.066893
0.808889,0.556054,0.062003
0.823452,0.574413,0.065650
0.802867,0.587264,0.053833
0.554913,0.524314,0.059704
0.771863,0.560190,0.063182
0.813333,0.560106,0.064751
0.821828,0.569691,0.050767
0.567010,0.285254,0.051692
0.812360,0.593164,0.052801
0.815909,0.587444,0.062793
0.833147,0.594779,0.064392
0.805621,0.593968,0.056040
0.823661,0.590858,0.069772
0.516206,0.367781,0.047974
0.550588,0.608844,0.051207
0.827869,0.581114,0.051591
0.735959,0.636879,0.059237
0.821138,0.590541,0.052010
0.559424,0.577703,0.065461
0.721689,0.568966,0.048946
0.686325,0.580488,0.051386
0.763636,0.610743,0.059245
0.272035,0.261672,0.059707
0.782218,0.592184,0.062909
0.712297,0.561167,0.066253
0.801196,0.572065,0.000463
0.821389,0.594595,0.049595
0.838074,0.606791,0.050917
0.690226,0.700573,0.053736
0.548185,0.570060,0.069918
0.609654,0.574874,0.056512
0.856223,0.570961,0.001680
0.800000,0.599288,0.068225
0.819810,0.593487,0.056203
0.482428,0.634253,0.057658
0.818069,0.592411,0.059094
0.558249,0.502601,0.072784
0.834878,0.558698,0.054664
0.825843,0.569476,0.052561
0.808032,0.555646,0.052771
0.556223,0.266175,0.057633
0.440209,0.668038,0.006065
0.825832,0.607977,0.010287
0.788871,0.582258,0.071842
0.393531,0.826851,0.048373
0.809906,0.599206,0.053792
0.820329,0.594484,0.063359
0.838144,0.569815,0.070587
0.520968,0.567976,0.044726
0.609871,0.579125,0.066649
0.413158,0.691756,0.037610
0.571875,0.199387,0.047083
0.744919,0.559921,0.050051
0.815006,0.570687,0.066424
0.567010,0.570487,0.068614
0.451540,0.267348,0.001089
0.339771,0.363324,0.039255
0.676336,0.576023,0.046774
0.819892,0.589492,0.062117
0.547662,0.369565,0.053081
0.575454,0.598924,0.063725
0.715488,0.701516,0.046969
